Номер ф-ции; Точка минимума; Знач ф-ции; Кол-во точек; Ист.знач.минимума; Ист.знач.ф-ции; Погрешность по x;Погрешность по f 
185;4.64482;-1.98741;32;8.091;-2.03196;3.44618;0.0445509
186;6.07121;-2.71432;23;6.072;-2.71434;0.000792345;2.49586e-05
187;4.5104;-2.92259;26;4.511;-2.9226;0.000604109;5.58451e-06
188;6.82019;-3.34153;22;6.813;-3.34224;0.00719329;0.000713451
189;6.14348;-2.01771;32;6.143;-2.01772;0.000475586;1.35987e-05
190;1.36285;-1.52047;34;1.362;-1.52048;0.000852562;1.00842e-05
191;4.98002;-2.6435;26;4.981;-2.64351;0.000976232;1.16598e-05
192;5.91625;-2.13113;36;5.918;-2.13114;0.00175016;6.92416e-06
193;3.57425;-1.73593;30;3.579;-1.73623;0.0047456;0.000296511
194;3.75703;-2.1258;26;3.757;-2.12581;3.05044e-05;1.2875e-05
195;4.25143;-2.12565;45;4.25;-2.12567;0.00142827;1.69807e-05
196;2.24443;-1.66776;44;8.223;-2.17889;5.97857;0.511129
197;3.79636;-1.98486;27;3.793;-1.985;0.00336266;0.000140547
198;6.23537;-3.05467;24;6.23;-3.05505;0.00536712;0.000376032
199;1.49351;-1.67306;42;1.493;-1.67306;0.000507447;2.50074e-06
200;4.69256;-1.92416;26;4.697;-1.92458;0.00443889;0.000424362
201;6.36214;-1.52915;43;7.149;-1.77391;0.786859;0.244765
202;3.59519;-2.23431;30;3.597;-2.23436;0.0018101;4.73212e-05
203;5.10304;-2.33237;28;5.105;-2.33244;0.00196463;7.03895e-05
204;1.36858;-2.19487;38;1.37;-2.19489;0.00142331;1.51403e-05
205;5.90021;-1.80903;36;5.897;-1.8092;0.00320926;0.000167741
206;1.87695;-2.1861;36;1.872;-2.1865;0.00495463;0.000403237
207;2.75999;-1.84503;30;8.736;-2.59777;5.97601;0.752741
208;3.80727;-1.63067;38;3.809;-1.63069;0.00173325;2.47806e-05
209;7;-1.6718;70;7.365;-2.91898;0.365;1.24718
210;0.199041;-3.6142;22;0.197;-3.61433;0.00204128;0.00012819
211;0.553557;-1.9212;32;0.56;-1.9218;0.00644349;0.00059946
212;2.94176;-1.62754;40;9.364;-1.65383;6.42224;0.02629
213;4.29282;-2.01461;34;4.301;-2.01557;0.00818218;0.000964822
214;0.847631;-1.8653;34;7.669;-2.55812;6.82137;0.692819
215;3.69423;-2.38709;26;3.691;-2.38717;0.00323038;7.7337e-05
216;1.3913;-1.76252;30;1.392;-1.76253;0.000696587;1.01236e-05
217;6.48144;-1.97764;40;9.375;-2.13931;2.89356;0.161672
218;1.54083;-1.9936;38;1.543;-1.99365;0.00217237;4.56538e-05
219;5.19283;-1.50632;50;9.431;-2.16215;4.23817;0.655832
220;4.56895;-1.64842;52;4.573;-1.64849;0.00405201;6.76471e-05
221;5.56844;-2.01683;40;8.18;-2.81535;2.61156;0.798523
222;0.671254;-2.52254;25;0.67;-2.52254;0.00125394;1.61095e-06
223;5.00723;-1.94406;34;7.837;-2.70242;2.82977;0.758358
224;3.97444;-1.94756;34;3.976;-1.94763;0.00156386;7.44827e-05
225;6.80057;-1.7353;44;7.378;-2.1844;0.577431;0.449096
226;7;-2.17685;29;7.166;-2.46649;0.166;0.289643
227;1.77079;-3.48164;30;1.766;-3.48186;0.00479059;0.000219363
228;0.942228;-1.92234;28;7.95;-1.95207;7.00777;0.0297269
229;7;-2.22368;24;7.044;-2.25776;0.044;0.034084
230;3.60297;-1.45176;34;3.602;-1.45176;0.000972388;4.01352e-06
231;1.67375;-3.20838;30;1.668;-3.20871;0.00575042;0.000329241
232;2.00207;-2.84798;26;2.003;-2.84797;0.000926269;6.26046e-06
233;1.7896;-1.87206;28;7.438;-2.1251;5.6484;0.253041
234;4.74178;-2.16363;42;4.742;-2.16364;0.00022338;6.53923e-06
235;2.90221;-1.67252;27;2.901;-1.67255;0.00121331;3.36044e-05
236;3.94878;-1.30916;54;9.112;-1.49449;5.16322;0.185329
237;5.10494;-2.72667;22;5.107;-2.72673;0.0020575;5.93092e-05
238;3.27169;-2.64291;24;3.271;-2.64292;0.00068994;1.44817e-05
239;0.3817;-1.90259;41;0.386;-1.903;0.00429955;0.000407234
240;3.96492;-2.18921;33;3.968;-2.18957;0.00307548;0.000356586
241;4.65936;-1.78781;38;4.661;-1.78782;0.00163988;1.49568e-05
242;6.65141;-2.15845;30;7.219;-2.20039;0.56759;0.0419445
243;7;-2.12639;22;7.365;-3.28259;0.365;1.1562
244;4.71938;-2.02248;32;4.716;-2.02264;0.00338329;0.000159594
245;2.85267;-1.98318;24;2.852;-1.9832;0.000666819;1.94218e-05
246;1.48573;-2.45664;28;1.485;-2.45665;0.000727178;7.66518e-06
247;1.74341;-1.83681;34;1.741;-1.83685;0.00240808;3.96848e-05
248;6.00755;-2.6769;28;6.005;-2.67702;0.00255303;0.000122773
249;6.9909;-2.14371;28;6.992;-2.14375;0.00110169;3.92325e-05
250;4.06449;-1.83516;42;8.572;-1.95379;4.50751;0.118634
251;5.13848;-2.25392;26;5.141;-2.25407;0.00251998;0.000154383
252;5.72672;-2.74053;25;5.727;-2.74052;0.000276754;1.27138e-05
253;2.28802;-2.61395;22;2.289;-2.61397;0.00098153;2.12061e-05
254;6.83363;-2.10033;24;6.833;-2.10033;0.000632716;4.81042e-06
255;0.583224;-1.71187;42;7.268;-1.85481;6.68478;0.142941
256;5.17736;-2.26252;26;5.181;-2.26275;0.003636;0.000234313
257;3.20399;-2.23453;26;3.203;-2.23453;0.000989646;1.71108e-06
258;6.95721;-1.75499;30;7.366;-2.12769;0.408791;0.372702
259;0.926108;-2.08957;46;0.925;-2.08956;0.00110782;1.34185e-05
260;3.36546;-1.87199;32;3.367;-1.87203;0.00153642;3.69145e-05
261;1.37637;-1.71302;28;1.37;-1.71363;0.00636858;0.000609168
262;1.5319;-2.0337;28;1.534;-2.03379;0.00209796;8.58235e-05
263;2.57844;-2.30231;36;2.576;-2.30233;0.00243593;1.8712e-05
264;1.63627;-2.36256;30;1.641;-2.36308;0.00472806;0.000515098
265;0.474669;-1.54506;34;0.472;-1.54513;0.0026693;6.81015e-05
266;3.1248;-1.80344;27;3.122;-1.80361;0.00280297;0.000167462
267;6.13586;-2.38797;28;6.132;-2.38815;0.00386397;0.000179733
268;0.893609;-2.98769;24;0.898;-2.98802;0.00439126;0.000332891
269;6.12645;-2.83452;28;6.134;-2.83593;0.00754549;0.00140869
270;3.99456;-2.03796;44;9.604;-2.39345;5.60944;0.355494
271;2.15302;-3.18589;24;2.159;-3.1862;0.00597862;0.000313936
272;6.70267;-2.27104;32;6.699;-2.27122;0.00366522;0.000181687
273;6.21916;-2.88208;27;6.225;-2.88238;0.0058408;0.000302837
274;6.33855;-2.09126;26;8.071;-2.19048;1.73245;0.0992214
275;1.30247;-3.42785;24;1.306;-3.42814;0.00353214;0.000290384
276;4.55259;-2.69918;29;4.549;-2.69944;0.00358713;0.000263887
277;2.13715;-1.67883;50;9.658;-1.83866;7.52085;0.159827
278;1.68101;-2.08362;35;1.684;-2.08372;0.00299345;9.58227e-05
279;3.82738;-1.56679;46;3.82;-1.56729;0.00738287;0.0005013
280;3.47002;-1.28088;44;9.559;-2.23668;6.08898;0.955804
281;2.40321;-1.79905;44;2.407;-1.79908;0.00379321;2.93461e-05
282;5.01465;-2.56211;32;5.018;-2.56228;0.00335238;0.000169765
